Gene_Name,F-Statistic,p-value (ANOVA),Chi-Square Statistic,p-value (Chi-Squared Test),Correlation Coefficient,p-value (Pearson Correlation)
S100A11,10.728619943970179,3.2143952810470185e-12,1.2274890890077927,0.9963628470949847,0.4486505681231734,1.8966207629862792e-10
NUCB2,10.712608442090012,3.3455923025624094e-12,1.2262617015020802,0.9963756320521504,-0.0226433217736774,0.7609349301312808
ARFGEF1_2,10.681144581199481,3.6193734640194724e-12,1.2238462577336289,0.9964007032147292,-0.24914381127869792,0.0006712701096267296
APOC2,10.664136450729934,3.776678334318579e-12,1.2230686439798992,0.9964087493794779,0.33353886974616,3.9512879841053194e-06
TMEM53,10.651144595507835,3.901473685647883e-12,1.2215388251180235,0.9964245431705043,0.19820494476506234,0.007153096538020422
ASNS,10.647404485759008,3.9381659024593445e-12,1.221250857016727,0.9964275108628503,-0.04178994544091007,0.5743233823192452
PEA15_2,10.621410513041994,4.202990533842001e-12,1.2192476242022152,0.9964481092021271,0.42814969395155245,1.4858651613598255e-09
ENG_2,10.620083897994085,4.216978396479385e-12,1.2191453019527947,0.9964491591670258,-0.10928984248232632,0.1408238189441266
GALNS,10.590629678859253,4.539946849669332e-12,1.2168713262230217,0.9964724389205005,0.25429753237739466,0.0005131716773943136
EVI2A,10.575306984996013,4.717724233665378e-12,1.215686718380903,0.996484525166573,0.22766459608012943,0.0019385264562475654
AHR,10.56670848771476,4.820548123632226e-12,1.2150214706717586,0.9964913001754159,0.19221177473617818,0.009141187624496857
LGALS9,10.54493724881457,5.091131053015241e-12,1.2133354915747774,0.9965084307975506,-0.012424578034496224,0.8674240812168763
FARSA,10.51317290713818,5.513674483710084e-12,1.2108715582787648,0.9965333636590161,-0.1439936372854677,0.051809988996443485
LYST,10.493657988002873,5.790657007932305e-12,1.2093553949703262,0.9965486456632984,0.2198146200719259,0.002790893721239981
QSOX1,10.435620262693739,6.700299445024146e-12,1.2048354327808009,0.9965939324624251,0.28321881517859665,0.0001023689835512947
RNH1_2,10.413559148608519,7.082785901945895e-12,1.203113040522753,0.99661108280625,0.47087007265603986,1.7357896246167224e-11
PQLC2,10.382355778380594,7.661736380703671e-12,1.2006728404018334,0.9966352799460524,0.3248030439670066,7.2579949513886905e-06
